record_id,分子,来源药材,PubMed疾病检索命中数,PubMed机制检索命中数,疾病模型证据,疾病证据层级,直接靶点与功能证据,靶点证据层级,暴露与可开发性,计算支持,研究增量,保留或降级理由,证据状态,主要缺口
NP54-001,scoparone,scoparone,16,14,MCD-NASH小鼠4周治疗；AML12 PA脂毒性和RAW264.7 LPS模型；摘要报告NASH关键特征、自噬、炎症/凋亡/纤维化改善,摘要级（A-tier升级，全文待核）,ROS/P38/Nrf2、PI3K/AKT/mTOR、自噬；另一研究TLR4/NF-kB；HFD-MASLD有miR-3073a-3p/CAMKK2线索,摘要级/条件有限,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,A-tier竞争者：优先全文和身份/可测性复核,摘要级升级，非全文确认,摘要级本体证据；MCD与HFD模型均有，但剂量/组织学/偏倚需全文核查；来源/部位/纯度/PK未人工闭环
NP54-002,scopoletin,scopoletin,11,23,本轮精确PubMed检索命中11条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中23条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-003,umbelliferone,umbelliferone,12,29,本轮精确PubMed检索命中12条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中29条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-004,capillarisin,capillarisin,1,4,本轮精确PubMed检索命中1条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中4条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-005,arcapillin,arcapillin,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-006,capillin,capillin,2,1,本轮精确PubMed检索命中2条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-007,capillene,capillene,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-008,"1,2-dimethoxy-4-vinylbenzene",1_2-dimethoxy-4-vinylbenzene,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-009,isorhamnetin,isorhamnetin,43,64,NASH小鼠口服50 mg/kg：脂质/TG、肝损伤、胶原沉积和纤维化标志改善（PMID 31700054，摘要）；HFD-MASLD小鼠剂量依赖改善，FXR/胆汁酸/菌群轴与体外/MD支持（PMID 41763136，摘要）,摘要/条件有限,FXR方向：41763136报告MD与体外实验支持interaction/signaling，但本轮未确认纯化受体KD；直接结合层级未知；多酚检测干扰/聚集待排除,摘要/条件有限,NASH研究有口服50 mg/kg动物剂量；未建立本库化学形式的PK、肝暴露、溶解度和检测干扰,"TRβ WT 3GWS派生受体，4种子中位=-8.244，范围=[-8.246,-8.234]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,保留：疾病证据优先候选；机制需正交验证,已核查分层,来源/部位/纯度/PK未人工闭环；聚集/检测干扰需排查
NP54-010,vitexin,vitexin,8,48,本轮精确PubMed检索命中8条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中48条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
